keys,ReadRatio,nShard,nrep,nclients,tput_1,tput_2,tput_3
0.512,1.0,1,3,15,23008.904535100435,18830.075697661283,18957.875180101615
0.512,1.0,1,3,20,26768.74481355569,25569.561993403055,26259.125045953468
0.512,1.0,1,3,25,27580.88093333701,25421.359025853522,25757.263548320625
0.512,1.0,1,3,5,11288.083170596801,11667.930692491687,11510.526376371192
0.512,1.0,1,5,10,14232.444279980644,13868.471417080409,16336.132257326755
0.512,1.0,1,5,15,19005.79682600019,18214.42232381924,22260.58501402431
0.512,1.0,1,5,20,24320.24903935016,24950.722323411264,25109.22512931251
0.512,1.0,1,5,25,27036.526347094925,24802.81760007937,23526.643924244207
0.512,1.0,1,5,5,11649.309195964679,12228.227640685758,11509.731477964619
0.512,1.0,1,7,10,15443.538423523598,16507.643038726932,13943.112102621306
0.512,1.0,1,7,15,19696.474295844004,17721.52123059474,20429.639617553323
0.512,1.0,1,7,20,24439.71943202092,18615.040953090098,24925.224327018943
0.512,1.0,1,7,25,26166.3657534605,25436.878386284436,24992.502249325204
0.512,1.0,1,7,5,9702.803139827096,11047.892614483788,11045.94006472921
0.512,1.0,2,3,10,26243.27516074006,25118.05485783181,26020.660404361064
0.512,1.0,2,3,15,32825.30199579832,37761.120761271806,38520.416024653314
0.512,1.0,2,3,20,36892.20098871099,43400.8940584176,42651.19849867781
0.512,1.0,2,3,25,42927.666881305,47375.40269092287,45154.88124266233
0.512,1.0,2,3,5,12039.634476697287,13402.490182675941,11362.08698813798
0.512,1.0,2,5,10,19924.287706714484,18881.818696776874,20366.18398810615
0.512,1.0,2,5,15,28693.29431006284,30697.138998035363,30144.69598770084
0.512,1.0,2,5,20,34856.56523406183,38257.01059719193,37777.190132597934
0.512,1.0,2,5,25,40660.323656176304,43880.81969371188,43750.27343920899
0.512,1.0,2,5,5,10057.326762546516,13046.995276987709,11539.881831610044
0.512,1.0,3,3,10,27796.308650211253,28286.94274722788,28160.28836135282
0.512,1.0,3,3,15,38186.504754267386,38134.08076879076,37931.57076205288
0.512,1.0,3,3,20,45353.53077237063,47225.50177095632,45934.77262287552
0.512,1.0,3,3,25,50355.002769525156,57231.15664167573,55389.38739337543
0.512,1.0,3,3,5,12347.203358439314,12995.958256982078,12657.5869576224
2.048,0.2,1,3,10,15643.821472709353,12597.472946926846,12058.653289600617
2.048,0.2,1,3,15,20218.56487191411,18799.278100501946,19594.967961907
2.048,0.2,1,3,20,21258.503401360544,11290.88712500141,11610.356437942644
2.048,0.2,1,3,25,20662.437754406266,19789.44035462677,18251.50574922431
2.048,0.2,1,3,5,9353.049561809628,9251.977610214184,8977.869551555415
2.048,0.2,1,5,10,12652.142007641894,11893.293371867603,12332.889349316758
2.048,0.2,1,5,15,18594.087021197472,14863.109393579072,17858.239874276733
2.048,0.2,1,5,20,20890.34657084961,11438.899120348658,20187.33850129199
2.048,0.2,1,5,25,20819.887156211615,17790.745254318703,16161.61616161616
2.048,0.2,1,5,5,8736.065974770241,8966.519017986837,8989.976176563132
2.048,0.2,1,7,10,12738.042162919559,10695.072779970267,12183.235867446394
2.048,0.2,1,7,15,16948.40852852446,9956.588838552298,16505.02583062373
2.048,0.2,1,7,20,19302.4108711178,19865.313176662232,20498.944304368324
2.048,0.2,1,7,25,20071.4543775842,19321.431331633048,19656.792404615415
2.048,0.2,1,7,5,9336.457934588776,8329.376879315658,8447.087444249222
2.048,0.2,2,3,10,21161.781822029414,21884.2324105482,21990.588028323877
2.048,0.2,2,3,15,27925.66114663911,33474.709603990224,32568.72068785826
2.048,0.2,2,3,20,32815.935418239096,36243.7026566634,35805.07715994128
2.048,0.2,2,3,25,31257.814453613402,31414.928373963307,31283.238440843397
2.048,0.2,2,3,5,9950.941856646732,10468.02541636571,10571.159761937482
2.048,0.2,2,5,10,15239.256324291375,15982.1000479463,18934.014957871816
2.048,0.2,2,5,15,24627.869175450694,26869.172689899777,27012.155591572122
2.048,0.2,2,5,20,30840.400925212027,33243.57567900003,25266.562231542775
2.048,0.2,2,5,25,34611.65720614703,29402.252212519477,29681.517319165356
2.048,0.2,2,5,5,8880.915800037299,10046.81817268471,9350.688210652304
2.048,0.2,3,3,10,24436.13615815067,25234.045774559036,25509.55332772123
2.048,0.2,3,3,15,32113.748033013264,33597.29875016799,33356.34944461123
2.048,0.2,3,3,20,37952.10444419143,41160.732661041366,40839.66348117292
2.048,0.2,3,3,25,37952.10444419143,46309.159951838476,47598.648198391165
2.048,0.2,3,3,5,10738.024418267527,10439.394097566577,10814.785975385546
2.048,0.6,1,3,10,11713.03074670571,14037.05783267827,10588.060902526311
2.048,0.6,1,3,15,15138.06049229465,20147.278075512753,20859.198998748434
2.048,0.6,1,3,20,19133.263178035013,22164.594277101758,22289.089490694307
2.048,0.6,1,3,25,22927.891780350797,13468.013468013469,21164.917033525227
2.048,0.6,1,3,5,9672.863748041245,8989.248858365396,10873.7019518295
2.048,0.6,1,5,10,14296.130037598821,12638.390374601891,13220.343464523208
2.048,0.6,1,5,15,18051.664380099646,16794.135429262395,15533.825242718447
2.048,0.6,1,5,20,17624.250969333803,21630.50766801497,18225.559524677406
2.048,0.6,1,5,25,18452.227183821087,21348.81834290472,18022.239443473245
2.048,0.6,1,5,5,9177.258752810536,8946.384318777566,9688.702004592446
2.048,0.6,1,7,10,11902.069769932992,12045.435382261892,12369.348753788114
2.048,0.6,1,7,15,17812.75049430877,16367.519968574048,17114.031935102943
2.048,0.6,1,7,20,21729.6827466319,21251.726702794604,12267.530300799843
2.048,0.6,1,7,25,22142.01890928415,21255.340404276576,21230.070271532597
2.048,0.6,1,7,5,9467.90380609733,9132.169894888724,9724.410214520489
2.048,0.6,2,3,10,20001.60012801024,22747.435226678193,22564.704289550285
